Participant,632
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,6,black,black,black,black,black,black,black,black,white,white,white,white,white,white,white,white
0,1,1,5,black,black,white,black,black,white,black,black,white,white,white,white,black,white,white,black
0,2,2,3,black,black,white,white,black,white,white,black,white,black,black,white,black,white,white,black
0,3,3,1,black,white,black,black,black,white,black,white,black,white,black,white,black,white,white,white
0,4,4,2,white,white,white,white,black,black,black,black,white,white,white,white,black,black,black,black
0,5,5,7,black,black,white,black,black,white,black,white,white,black,black,white,black,white,white,white
0,6,6,4,white,white,black,black,white,white,black,black,white,white,black,black,white,white,black,black
0,7,7,0,black,black,black,black,white,white,white,white,white,white,white,white,black,black,black,black
1,1,8,13,white,white,black,black,white,black,white,black,black,white,black,white,black,black,white,white
1,2,9,6,black,black,white,white,black,black,white,white,white,white,black,black,white,white,black,black
1,3,10,40,black,white,white,black,black,white,white,black,black,white,white,black,black,white,white,black
1,4,11,50,white,white,black,white,black,black,black,white,white,black,black,black,white,black,white,white
1,5,12,61,white,white,black,black,black,black,white,white,white,white,black,black,black,black,white,white
1,6,13,4,black,white,black,black,white,white,white,black,black,white,white,white,black,black,white,black
1,7,14,60,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
