rank,Stim,8-Ave,Ave,Std,name,,
3,7,0,8,0,brick1,,
2,40,0,8,0,brick2,,
4,37,0,8,0,checkers2,,
5,66,0,8,0,circle2,,
6,11,0,8,0,flag1,,
7,13,0,8,0,flower1,,
8,12,0,8,0,haircut1,,
9,45,0,8,0,haircut2,,
10,2,0,8,0,waterfall1,,
11,35,0,8,0,waterfall2,,
12,41,0.041666667,7.958333333,0.204124145,doubles2,,
13,9,0.041666667,7.958333333,0.204124145,stripes1,,
14,42,0.041666667,7.958333333,0.204124145,stripes2,,
15,15,0.083333333,7.916666667,0.282329851,3stripe1,,
16,4,0.083333333,7.916666667,0.40824829,checkers1,,
17,21,0.083333333,7.916666667,0.282329851,rain1,,
18,20,0.083333333,7.916666667,0.282329851,slip1,,
19,53,0.083333333,7.916666667,0.282329851,slip2,,
20,22,0.125,7.875,0.337831962,brickdev1,,
21,54,0.125,7.875,0.337831962,rain2,,
22,55,0.166666667,7.833333333,0.481543412,brickdev2,,
23,5,0.166666667,7.833333333,0.564659703,diagonal1,,
24,8,0.166666667,7.833333333,0.637022057,doubles1,,
25,39,0.166666667,7.833333333,0.637022057,ring2,,
26,10,0.166666667,7.833333333,0.481543412,stairs1,,
27,50,0.208333333,7.791666667,0.414851117,3corner2,,
28,44,0.208333333,7.791666667,0.414851117,flag2,,
29,36,0.208333333,7.791666667,0.508977378,windmill2,,
30,58,0.25,7.75,0.607918759,rand12,,
31,43,0.25,7.75,0.531609533,stairs2,,
32,56,0.291666667,7.708333333,0.806450444,checkersdev2,,
33,14,0.291666667,7.708333333,0.690253052,sunrise1,,
34,49,0.333333333,7.666666667,0.701964118,3diag2,,
35,33,0.333333333,7.666666667,1.00722031,circle1,,
36,25,0.333333333,7.666666667,0.564659703,rand11,,
37,62,0.333333333,7.666666667,0.637022057,rand52,,
38,17,0.375,7.625,0.646898957,3corner1,,
39,29,0.375,7.625,0.710939366,rand51,,
40,6,0.375,7.625,0.923721208,ring1,,
41,47,0.416666667,7.583333333,0.717281502,sunrise2,,
42,23,0.458333333,7.541666667,1.062366786,checkersdev1,,
43,31,0.458333333,7.541666667,1.102533315,horsey1,,
44,3,0.458333333,7.541666667,0.65800533,windmill1,,
45,46,0.541666667,7.458333333,0.721060009,flower2,,
46,26,0.541666667,7.458333333,0.721060009,rand21,,
47,27,0.541666667,7.458333333,0.721060009,rand31,,
48,63,0.541666667,7.458333333,0.9770927,rand62,,
49,48,0.583333333,7.416666667,1.017954755,3stripe2,,
50,52,0.583333333,7.416666667,0.583592075,circledev2,,
51,60,0.625,7.375,0.923721208,rand32,,
52,38,0.666666667,7.333333333,0.916831342,diagonal2,,
53,64,0.666666667,7.333333333,0.761386988,horsey2,,
54,18,0.708333333,7.291666667,1.041702898,3arrow1,,
55,59,0.708333333,7.291666667,1.197067673,rand22,,
56,61,0.708333333,7.291666667,0.907896119,rand42,,
57,30,0.708333333,7.291666667,1.232853412,rand61,,
58,32,0.708333333,7.291666667,0.85867272,tippedhorsey1,,
59,65,0.708333333,7.291666667,0.999093792,tippedhorsey2,,
60,1,0.833333333,7.166666667,1.434563005,alternate1,,
61,51,0.875,7.125,0.850191794,3arrow2,,
62,16,0.875,7.125,0.850191794,3diag1,,
63,24,0.875,7.125,1.153915828,altdev1,,
64,57,0.875,7.125,0.899879219,altdev2,,
65,28,0.916666667,7.083333333,1.176459932,rand41,,
66,34,0.958333333,7.041666667,1.232853412,alternate2,,
67,19,0.958333333,7.041666667,0.954584666,circledev1,,
